rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration,reps_arg
0.9627888888888898,0.29,0.07223333333333343,0,0,1.0,,,,,,,,,,,1,10
0.9627888888888898,0.29,0.07223333333333343,1,0,1.0,0.0,,,,,,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,2,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,,,,,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,3,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,0.0,,,,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,4,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,0.0,0.0,,,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,5,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,0.0,0.0,0.0,,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,6,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,0.0,0.0,0.0,0.0,,,,,1,10
0.9718777777777785,0.31333333333333335,0.05460000000000003,7,0,0.7469131189765272,0.00803918292429157,0.24504769809918145,0.0,0.0,0.0,0.0,0.0,,,,1,10
0.9711222222222231,0.31333333333333335,0.05156666666666668,8,0,0.7542202379946615,0.010793720956686657,0.19676287805137077,0.00040136021235967777,0.0,0.0001580455445875739,3.4691803646832626e-18,0.018310605883311723,0.01935315135702223,,,1,10
0.9711222222222231,0.31333333333333335,0.05156666666666668,9,0,0.7542202379946615,0.010793720956686657,0.19676287805137077,0.00040136021235967777,0.0,0.0001580455445875739,3.4691803646832626e-18,0.018310605883311723,0.01935315135702223,0.0,,1,10
0.9718666666666678,0.31666666666666665,0.04952222222222223,10,0,0.5913178142510338,2.0095993313233453e-18,0.17465107015093942,1.7858796109889486e-16,2.139219046418606e-17,8.091004345038199e-18,0.09556967210320677,2.2170338163729322e-17,0.08274900678450736,0.003532776177701845,0.05217966053261444,1,10
0.9643666666666684,0.31666666666666665,0.085777777777778,0,1,1.0,,,,,,,,,,,1,10
0.9643666666666684,0.31666666666666665,0.085777777777778,1,1,1.0,6.938893903907228e-17,,,,,,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,2,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,,,,,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,3,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,0.0,,,,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,4,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,0.0,0.0,,,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,5,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,0.0,0.0,0.0,,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,6,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,0.0,0.0,0.0,0.0,,,,,1,10
0.9707444444444456,0.33,0.06824444444444457,7,1,0.8256343295670967,4.6163295627126716e-20,0.17436567043290346,0.0,0.0,0.0,0.0,0.0,,,,1,10
0.9679000000000013,0.33,0.07053333333333348,8,1,0.9126320137089098,9.389360221261051e-19,0.08736798629115665,7.5682393844806035e-19,1.2684318386412649e-19,4.679179407221744e-16,4.89131033853273e-16,2.3961937391024354e-15,5.50571415770833e-20,,,1,10
0.9679000000000013,0.33,0.07053333333333348,9,1,0.9126320137089098,9.389360221261051e-19,0.08736798629115665,7.5682393844806035e-19,1.2684318386412649e-19,4.679179407221744e-16,4.89131033853273e-16,2.3961937391024354e-15,5.50571415770833e-20,0.0,,1,10
0.9679000000000013,0.33,0.07053333333333348,10,1,0.9126320137089098,9.389360221261051e-19,0.08736798629115665,7.5682393844806035e-19,1.2684318386412649e-19,4.679179407221744e-16,4.89131033853273e-16,2.3961937391024354e-15,5.50571415770833e-20,0.0,0.0,1,10
