rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration,reps_arg
0.9627888888888898,0.29,0.07223333333333343,0,0,1.0,,,,,,,,,,,1,10
0.9627888888888898,0.29,0.07223333333333343,1,0,1.0,0.0,,,,,,,,,,1,10
0.9627888888888898,0.29,0.07223333333333343,2,0,1.0,0.0,0.0,,,,,,,,,1,10
0.9710111111111126,0.29333333333333333,0.05774444444444446,3,0,0.320422771242011,0.5446963825889959,0.0,0.13488084616899326,,,,,,,,1,10
0.9720888888888906,0.30666666666666664,0.0490111111111111,4,0,0.5602285833167173,0.007315180274581525,0.0,0.43245623640870123,3.0154372920282187e-20,,,,,,,1,10
0.9720888888888906,0.30666666666666664,0.0490111111111111,5,0,0.5602285833167173,0.007315180274581525,0.0,0.43245623640870123,3.0154372920282187e-20,0.0,,,,,,1,10
0.9724111111111121,0.32,0.057822222222222226,6,0,0.44527429531197393,0.08940254932545048,5.308488566362213e-18,0.06852418966710153,0.022509377124606274,0.11343033167507789,0.2608592568957898,,,,,1,10
0.9724111111111121,0.32,0.057822222222222226,7,0,0.44527429531197393,0.08940254932545048,5.308488566362213e-18,0.06852418966710153,0.022509377124606274,0.11343033167507789,0.2608592568957898,0.0,,,,1,10
0.9724111111111121,0.32,0.057822222222222226,8,0,0.44527429531197393,0.08940254932545048,5.308488566362213e-18,0.06852418966710153,0.022509377124606274,0.11343033167507789,0.2608592568957898,0.0,0.0,,,1,10
0.9724111111111121,0.32,0.057822222222222226,9,0,0.44527429531197393,0.08940254932545048,5.308488566362213e-18,0.06852418966710153,0.022509377124606274,0.11343033167507789,0.2608592568957898,0.0,0.0,0.0,,1,10
0.9724111111111121,0.32,0.057822222222222226,10,0,0.44527429531197393,0.08940254932545048,5.308488566362213e-18,0.06852418966710153,0.022509377124606274,0.11343033167507789,0.2608592568957898,0.0,0.0,0.0,0.0,1,10
0.9643666666666684,0.31666666666666665,0.085777777777778,0,1,1.0,,,,,,,,,,,1,10
0.9643777777777793,0.31666666666666665,0.08548888888888909,1,1,0.9078538324634285,0.09214616753657147,,,,,,,,,,1,10
0.9684444444444459,0.32,0.0666333333333334,2,1,0.6959935456882816,0.08895435796211217,0.2150520963496059,,,,,,,,,1,10
0.9684444444444459,0.32,0.0666333333333334,3,1,0.6959935456882816,0.08895435796211217,0.2150520963496059,0.0,,,,,,,,1,10
0.9693666666666678,0.32,0.06730000000000014,4,1,0.4196918096119707,0.3984732210229307,0.1818349693650986,2.427589082590727e-17,1.7353084952778373e-17,,,,,,,1,10
0.9686333333333346,0.32,0.06651111111111119,5,1,0.6967875064280293,0.07535827469685047,0.22785421887512033,4.693185598972131e-17,0.0,2.4581349401091285e-17,,,,,,1,10
0.9677333333333347,0.32,0.06526666666666675,6,1,0.6873669395284334,0.17327927445674224,0.1393537860148243,1.560893053347807e-17,3.473027702266809e-18,1.3878185668960368e-17,3.9786114591053544e-21,,,,,1,10
0.9677333333333347,0.32,0.06526666666666675,7,1,0.6873669395284334,0.17327927445674224,0.1393537860148243,1.560893053347807e-17,3.473027702266809e-18,1.3878185668960368e-17,3.9786114591053544e-21,0.0,,,,1,10
0.9684000000000015,0.32,0.06770000000000007,8,1,0.7006874816184656,0.09186704837580596,0.20744246794607493,7.069723310107398e-17,2.1550607588209368e-17,4.558361099923146e-19,1.9636868067294464e-16,1.7249722045248155e-14,3.0020596418806704e-06,,,1,10
0.9702444444444457,0.3333333333333333,0.06005555555555563,9,1,0.606340863495543,0.1767888492131859,0.058119670823572084,2.4297140091989608e-17,7.979694108175423e-17,1.8037600493098215e-16,4.641740550954547e-20,1.1350241493210025e-20,7.02507103596088e-17,0.158750616467699,,1,10
0.9702444444444457,0.3333333333333333,0.06005555555555563,10,1,0.606340863495543,0.1767888492131859,0.058119670823572084,2.4297140091989608e-17,7.979694108175423e-17,1.8037600493098215e-16,4.641740550954547e-20,1.1350241493210025e-20,7.02507103596088e-17,0.158750616467699,0.0,1,10
