rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.5815187500000002,0.015,0.28231875000000006,0,0,1.0,,,,,,,,,,,10
0.5121499999999997,0.005,0.27555,1,0,0.0,0.9999999999999999,,,,,,,,,,10
0.56679375,0.0075,0.27274375,2,0,0.3228471284056277,0.5990335102689335,0.07811936132543897,,,,,,,,,10
0.5604249999999998,0.0075,0.27581875000000006,3,0,0.32911136048284206,0.6708886395171579,0.0,1.984089975648473e-17,,,,,,,,10
0.5782312500000004,0.01,0.2598062500000001,4,0,0.29909900102114745,0.21476917747990623,0.019670510904819034,0.044012725754580075,0.42244858483954717,,,,,,,10
0.5790625,0.0075,0.2578562500000002,5,0,0.35054448209106437,0.24977353473436212,1.7360619609097073e-18,0.004923175880271459,0.3947588072943018,0.0,,,,,,10
0.5794812500000003,0.0075,0.2556375,6,0,0.18048135394037565,0.37142180445759543,0.031265526252742266,4.129511986513536e-18,0.2962800868924957,0.12055089131499945,3.3714179164187775e-07,,,,,10
0.6293812500000006,0.0075,0.2787812500000003,7,0,0.32612083108005424,2.081714778887101e-17,0.15928250463342017,1.9824300415433203e-06,0.1420204944608655,0.2946302314374107,0.07794395595820781,2.4285584907001085e-17,,,,10
0.5617187500000005,0.01,0.24541874999999988,8,0,0.3097779865497698,0.12243866718125118,0.014922124286700499,4.060643847304025e-05,0.2406194616667523,0.0006330979834832193,0.051752926675477644,3.405031821876844e-20,0.25981512921809236,,,10
0.5813062500000001,0.005,0.26935000000000014,9,0,0.224522078584591,0.22345624924566493,1.9953808174013804e-19,0.01977927004242666,0.17140745894956072,0.19704601071560116,7.975038930128056e-19,0.028139994479628557,0.135648937982527,5.482202409692931e-19,,10
0.5826687500000005,0.005,0.27651249999999994,10,0,0.12869097131001075,1.2664579818741624e-06,3.7487066884920896e-06,0.002914898334653919,0.2219169341066864,0.11862527054178243,2.2380626764292814e-17,0.25588471544065094,0.0005399767371273388,0.2714212722111844,9.461532337130384e-07,10
0.5804187500000003,0.015,0.2985062500000001,0,1,1.0,,,,,,,,,,,10
0.5788124999999996,0.015,0.30586875000000024,1,1,0.5323441387469944,0.4676558612530055,,,,,,,,,,10
0.5737312499999999,0.0125,0.3179250000000001,2,1,0.4274057171791252,0.5725942828208751,4.1465439141650207e-19,,,,,,,,,10
0.5688875,0.005,0.2936437500000001,3,1,0.17701028930345922,0.39199437558232575,0.24123279547188978,0.18976253964232526,,,,,,,,10
0.5819062499999997,0.01,0.2686,4,1,0.5423830883945977,0.10085477817831863,0.002167698413688735,5.162873867254724e-15,0.35459443501416604,,,,,,,10
0.5739187500000006,0.005,0.2411125,5,1,0.0698855785340488,0.2785156580061621,0.010774661719260371,3.3692600642175984e-17,0.23013537528595812,0.41068872645457066,,,,,,10
0.6053312499999998,0.0075,0.23093125000000017,6,1,0.07063893344439026,0.2436473273726447,5.09761928573801e-18,1.7739603188334274e-21,0.2181569868189243,0.295461360302222,0.17209539206181887,,,,,10
0.6449687500000002,0.0075,0.23126874999999983,7,1,0.03112369528156858,3.124857086242291e-17,0.16920955458815748,3.6186643322032115e-17,0.15623607424503003,0.16784983359980138,0.3119335295479329,0.16364731273750965,,,,10
0.5438062499999997,0.0025,0.2411625,8,1,0.0009868285716744614,0.2125079671782874,0.02261218658923703,6.531532096440908e-17,0.47432623839586907,0.24686487334552587,0.015196867944966183,1.568901011805528e-16,0.027505037974439917,,,10
0.5853624999999999,0.005,0.23150625000000008,9,1,0.021445191659877134,0.05972506400985584,0.019328949003359457,0.004605717271013127,0.31247512942019917,0.3350686974225034,0.16825263610902705,9.993250757168061e-18,0.07909861510416494,0.0,,10
0.58323125,0.005,0.2504937500000002,10,1,0.0078089624344951794,0.10883935343582629,0.16729159874934402,1.3501015162523969e-21,0.2290246961565113,0.2665637328546476,0.08102916317080189,0.039903923209739366,0.09953789495821289,6.75030421773443e-07,1.9260622548371347e-21,10
