,rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0,0.9710777777777787,0.31666666666666665,0.08643333333333342,0,0,1.0,,,,,,,,,,,10
0,0.9712000000000006,0.3233333333333333,0.08411111111111119,1,0,0.990129693546462,0.009870306453538051,,,,,,,,,,10
0,0.9710777777777787,0.31666666666666665,0.08643333333333342,2,0,1.0,8.326672684688674e-17,6.938893903907228e-18,,,,,,,,,10
0,0.970722222222223,0.32666666666666666,0.08557777777777785,3,0,0.8760667738180146,8.592590509172901e-07,0.12393128662835017,1.0802945842403544e-06,,,,,,,,10
0,0.9719111111111118,0.3233333333333333,0.0885000000000001,4,0,0.8368406254692452,0.05353015336433498,0.021549036179910077,0.015230736827470767,0.07284944815903997,,,,,,,10
0,0.9701888888888904,0.30333333333333334,0.07802222222222228,5,0,0.6681505508618747,2.0476178228971653e-16,0.02050318798916124,0.023290411092421505,0.07977328929056358,0.20828256076597867,,,,,,10
0,0.9706666666666676,0.31,0.08667777777777787,6,0,0.6583813487007764,0.03590318114976183,0.011672928951354047,0.053900095370663974,0.0911086546982717,0.11824515218007875,0.030788638949093408,,,,,10
0,0.9698777777777788,0.3,0.07781111111111118,7,0,0.6830684492600126,0.0,4.3323496806332407e-17,0.0,0.06422768764805836,0.2033379035773738,1.0644530529615423e-17,0.049365959514555184,,,,10
0,0.9696777777777792,0.3,0.07786666666666675,8,0,0.7661820514675366,0.0,1.795088125995832e-17,2.7362044108334567e-17,1.646798237326611e-16,0.18747161058193115,3.598848175305654e-18,0.03593385538915734,0.010412482561374921,,,10
0,0.9700777777777788,0.30333333333333334,0.07607777777777784,9,0,0.7207109799666829,3.233524543828497e-18,1.1228659363609721e-17,0.004632799665177231,0.043303811742558915,0.1754359839544483,2.0310670008628758e-17,0.04878927058646191,0.0071271540846709,7.898830844850832e-18,,10
0,0.9692555555555568,0.3,0.07910000000000006,10,0,0.5754920751971977,1.1961222147237791e-21,0.014159980327638322,8.67350864150088e-18,0.09801799827333955,0.18931789581502245,0.0392695187104302,0.06954255626910878,0.014198462596401793,0.0,1.5128108615529082e-06,10
0,0.969455555555557,0.29,0.07317777777777787,0,1,1.0,,,,,,,,,,,10
0,0.969455555555557,0.29,0.07317777777777787,1,1,0.9999999999999999,5.551115123125783e-17,,,,,,,,,,10
0,0.969455555555557,0.29,0.07317777777777787,2,1,1.0,0.0,2.0816681711721685e-16,,,,,,,,,10
0,0.9689000000000012,0.2966666666666667,0.08206666666666675,3,1,0.7966750031800683,0.13610094718060298,2.010378100306101e-21,0.06722404963932851,,,,,,,,10
0,0.9695000000000012,0.29,0.07034444444444454,4,1,0.8553289311757089,4.529253393437149e-21,1.2139182114643275e-17,0.08922848151854877,0.05544258730574228,,,,,,,10
0,0.9702777777777787,0.29333333333333333,0.07260000000000007,5,1,0.7081402256741193,0.062354487194346254,6.938893903907228e-18,0.02092346416339201,0.04735878532296925,0.1612230376451732,,,,,,10
0,0.9698555555555562,0.2833333333333333,0.0706111111111112,6,1,0.7526750349133013,8.658598498746271e-22,0.0,0.054884849508618126,0.05287641804177007,0.11532465700064605,0.024239040535664544,,,,,10
0,0.9705444444444454,0.2866666666666667,0.07365555555555567,7,1,0.6860265881574934,0.035228470272413624,0.0,0.009450097590069805,0.06212634165924564,0.11362712998358881,0.03233288257095999,0.061208489766228745,,,,10
0,0.9693444444444455,0.2833333333333333,0.07421111111111119,8,1,0.7237840756896596,4.4356180384462525e-06,2.774705426780044e-17,4.363523757787306e-06,0.02710981335968642,0.16033131327614877,0.0,0.088765998532709,1.864044837478585e-21,,,10
0,0.969366666666667,0.2833333333333333,0.07225555555555564,9,1,0.6933316413514562,0.021587620568730877,0.0,0.0003675161372365009,0.020165677126773685,0.13771025795361733,0.03137202906331506,0.09546525779887037,2.4925196710846173e-18,0.0,,10
0,0.9690555555555562,0.27666666666666667,0.07556666666666675,10,1,0.6874723880312249,4.787129204561315e-22,4.717985224339067e-16,0.0,0.032803652709471436,0.1899191059599283,1.0264121327228395e-06,0.08980382688724158,2.4977539504473367e-16,7.637891539861874e-22,2.7752821671637077e-17,10
