rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.9235915873702429,0.18382352941176472,0.17715992647058817,0,0,1.0,,,,,,,,,,,10
0.9235915873702429,0.18382352941176472,0.17715992647058817,1,0,1.0,0.0,,,,,,,,,,10
0.9234293901384091,0.18382352941176472,0.17715992647058817,2,0,0.9897972568532449,0.010202743146756146,3.2155221180243876e-17,,,,,,,,,10
0.8980995891003464,0.014705882352941176,0.34614240916955,3,0,0.291247478275549,3.6402934974148066e-17,0.5422309109065601,0.16652161081789088,,,,,,,,10
0.923483455882354,0.1875,0.17683553200692034,4,0,0.9201998627574273,0.0,7.659215381059907e-13,0.06095889483479594,0.018841242408027405,,,,,,,10
0.8806228373702423,0.003676470588235294,0.3270166522491351,5,0,0.22349352693446659,0.02303135436471733,0.351185733974598,0.02817038282510809,0.10003980506603308,0.27407919683507703,,,,,,10
0.858131487889273,0.011029411764705883,0.32423226643598624,6,0,0.17143884633238787,0.11346831771073754,0.1683874616503864,0.11161694653015045,0.1637288428056872,0.09800993424243934,0.17334965072821118,,,,,10
0.843371539792388,0.007352941176470588,0.3139597750865053,7,0,0.13652297717901338,0.1041811910568354,0.1622090149361566,0.09591096439771789,0.1438237917966424,0.08871756654127902,0.15960608989383018,0.10902840419852519,,,,10
0.8607131271626296,0.011029411764705883,0.30355211937716264,8,0,0.10812920968152522,1.3011385080141155e-17,0.1705022717016812,0.06238081941691527,0.014187317225878378,0.0,0.4942690331638363,0.0312550023435534,0.11927634646661024,,,10
0.8475481185121109,0.007352941176470588,0.3111078070934255,9,0,0.10940823573912815,2.6778267001069838e-17,0.2074511977200569,0.008447156629085843,0.035347342487689,0.0025756225202862187,0.28650471319085175,0.10326729420628947,0.18140697003527237,0.06559146747134036,,10
0.8697285899653983,0.011029411764705883,0.3078908953287196,10,0,0.18150053411857942,0.03166602327412039,0.25145628192443376,0.023230023965138222,3.989620302971475e-17,6.83010285134862e-18,0.26898873699086673,1.1919706394716425e-22,0.12636255549745354,0.11679382434332668,2.019886081212563e-06,10
0.9231049956747417,0.15073529411764705,0.16192690311418662,0,1,1.0,,,,,,,,,,,10
0.9231049956747417,0.15073529411764705,0.16192690311418662,1,1,1.0,0.0,,,,,,,,,,10
0.8948015787197235,0.011029411764705883,0.36930958044982687,2,1,0.3333337311333846,0.33333293049783835,0.333333338368777,,,,,,,,,10
0.8832990916955017,0.022058823529411766,0.36824178200692037,3,1,0.2500020265671735,0.24999556971295314,0.2500040179334284,0.2499983857864449,,,,,,,,10
0.8797983347750868,0.003676470588235294,0.33539684256055335,4,1,0.17847931290511695,0.028744600314392646,0.5561722476332982,0.139542852086857,0.09706098706033527,,,,,,,10
0.857077205882353,0.0,0.3215019463667821,5,1,0.05959869692585706,0.12765095540059498,0.03417931183077154,0.0010840155658531833,0.03550450870236374,0.7419825115745595,,,,,,10
0.8940987240484437,0.003676470588235294,0.32054227941176494,6,1,0.3020175522532126,7.656405362456642e-06,2.82492020002742e-06,3.6966471989670327e-06,1.7860656185061167e-06,0.3076903476196342,0.3902761360887733,,,,,10
0.8562256704152246,0.003676470588235294,0.32366457612456795,7,1,0.12552297557420153,0.04035702418686062,0.14876941158890633,0.005895970501979957,0.0,0.2427045739602487,0.21906477696059512,0.21768526722720782,,,,10
0.8187310769896192,0.0,0.31944744809688613,8,1,0.04536332711528377,0.04046188373223231,0.07475529656054351,0.004691178175837681,0.00010900661625191612,0.3740312261658402,0.22472490989796876,0.12491079399369805,0.11095237774234396,,,10
0.8291927984429068,0.0,0.31952854671280295,9,1,0.06254348606351325,0.00651252688991649,0.040709703677766274,1.0993718646638759e-06,3.276170341199336e-07,0.24831362038173996,0.06342911966741192,0.16293755190085504,0.08291220144656421,0.33264036298333416,,10
0.8522112889273364,0.0,0.31796064013840847,10,1,0.13335288221848687,6.317520172297199e-05,0.04470824087341938,8.873890147218572e-05,8.155695627788386e-22,0.2639313142345291,0.0036982076509870297,0.11313600948448024,0.09964342922780016,0.276372036840755,0.06500596536634713,10
